"","magGeneNames"
"1","TRINITY_DN938_c0_g1"
"2","TRINITY_DN12324_c0_g1"
"3","TRINITY_DN1221_c0_g1"
"4","TRINITY_DN6540_c1_g1"
"5","TRINITY_DN588_c1_g1"
"6","TRINITY_DN6065_c0_g1"
"7","TRINITY_DN1970_c0_g1"
"8","TRINITY_DN25613_c0_g1"
"9","TRINITY_DN3343_c0_g1"
"10","TRINITY_DN1424_c0_g3"
"11","TRINITY_DN9670_c0_g1"
"12","TRINITY_DN4467_c0_g1"
"13","TRINITY_DN29634_c0_g1"
"14","TRINITY_DN3857_c0_g1"
"15","TRINITY_DN4254_c0_g1"
"16","TRINITY_DN17490_c0_g1"
"17","TRINITY_DN11140_c0_g1"
"18","TRINITY_DN6314_c0_g1"
"19","TRINITY_DN5915_c0_g1"
"20","TRINITY_DN116_c0_g1"
"21","TRINITY_DN14520_c0_g1"
"22","TRINITY_DN3768_c0_g1"
"23","TRINITY_DN1257_c1_g1"
"24","TRINITY_DN6987_c0_g1"
"25","TRINITY_DN452_c0_g1"
"26","TRINITY_DN6550_c1_g1"
"27","TRINITY_DN933_c0_g1"
"28","TRINITY_DN5133_c0_g1"
"29","TRINITY_DN126_c0_g1"
"30","TRINITY_DN1044_c0_g1"
"31","TRINITY_DN1748_c0_g1"
"32","TRINITY_DN8968_c0_g1"
"33","TRINITY_DN2885_c0_g1"
"34","TRINITY_DN12991_c0_g1"
"35","TRINITY_DN11438_c0_g1"
"36","TRINITY_DN586_c0_g1"
"37","TRINITY_DN2603_c0_g1"
"38","TRINITY_DN47902_c0_g1"
"39","TRINITY_DN7315_c0_g1"
"40","TRINITY_DN18962_c0_g1"
"41","TRINITY_DN7802_c0_g1"
"42","TRINITY_DN6637_c0_g1"
"43","TRINITY_DN3445_c0_g1"
"44","TRINITY_DN2931_c1_g1"
"45","TRINITY_DN15241_c1_g1"
"46","TRINITY_DN203_c1_g2"
"47","TRINITY_DN23768_c0_g1"
"48","TRINITY_DN5119_c0_g1"
"49","TRINITY_DN18940_c0_g1"
"50","TRINITY_DN22552_c0_g1"
"51","TRINITY_DN1243_c0_g1"
"52","TRINITY_DN4261_c0_g1"
"53","TRINITY_DN5885_c0_g1"
"54","TRINITY_DN8395_c0_g1"
"55","TRINITY_DN34420_c0_g1"
"56","TRINITY_DN6621_c0_g1"
"57","TRINITY_DN17007_c0_g1"
"58","TRINITY_DN7641_c0_g1"
"59","TRINITY_DN9460_c0_g1"
"60","TRINITY_DN4740_c0_g1"
"61","TRINITY_DN14360_c0_g1"
"62","TRINITY_DN2266_c0_g1"
"63","TRINITY_DN15535_c0_g1"
"64","TRINITY_DN1666_c0_g1"
"65","TRINITY_DN9945_c0_g1"
"66","TRINITY_DN37241_c0_g1"
"67","TRINITY_DN37527_c0_g1"
"68","TRINITY_DN10604_c0_g1"
"69","TRINITY_DN4817_c0_g1"
"70","TRINITY_DN2787_c1_g1"
