"","prupGeneNames"
"1","TRINITY_DN3382_c0_g1"
"2","TRINITY_DN1993_c0_g1"
"3","TRINITY_DN29371_c0_g1"
"4","TRINITY_DN17786_c0_g1"
"5","TRINITY_DN27720_c0_g1"
"6","TRINITY_DN2349_c2_g2"
"7","TRINITY_DN2957_c0_g1"
"8","TRINITY_DN16046_c0_g1"
"9","TRINITY_DN6706_c0_g1"
"10","TRINITY_DN6937_c0_g1"
"11","TRINITY_DN1090_c0_g1"
"12","TRINITY_DN792_c0_g1"
"13","TRINITY_DN18978_c0_g1"
"14","TRINITY_DN3473_c0_g1"
"15","TRINITY_DN17615_c0_g1"
"16","TRINITY_DN4198_c0_g1"
"17","TRINITY_DN16579_c1_g1"
"18","TRINITY_DN3787_c0_g1"
"19","TRINITY_DN1149_c0_g1"
"20","TRINITY_DN61_c2_g1"
"21","TRINITY_DN5171_c0_g1"
"22","TRINITY_DN967_c0_g1"
"23","TRINITY_DN4795_c0_g2"
"24","TRINITY_DN1039_c1_g1"
"25","TRINITY_DN5267_c1_g1"
"26","TRINITY_DN2272_c1_g1"
"27","TRINITY_DN14906_c0_g1"
"28","TRINITY_DN5132_c0_g1"
"29","TRINITY_DN7636_c0_g1"
"30","TRINITY_DN626_c0_g1"
"31","TRINITY_DN917_c0_g1"
"32","TRINITY_DN3191_c0_g1"
"33","TRINITY_DN3627_c0_g1"
"34","TRINITY_DN6578_c0_g1"
"35","TRINITY_DN9316_c0_g1"
"36","TRINITY_DN2306_c0_g1"
"37","TRINITY_DN6429_c0_g1"
"38","TRINITY_DN4069_c0_g1"
"39","TRINITY_DN5405_c0_g1"
"40","TRINITY_DN3165_c0_g1"
"41","TRINITY_DN4736_c0_g1"
"42","TRINITY_DN3289_c0_g1"
"43","TRINITY_DN8850_c0_g1"
"44","TRINITY_DN4513_c0_g1"
"45","TRINITY_DN12393_c0_g1"
"46","TRINITY_DN2709_c0_g1"
"47","TRINITY_DN2928_c0_g1"
"48","TRINITY_DN1715_c0_g1"
"49","TRINITY_DN2383_c0_g2"
"50","TRINITY_DN11811_c0_g1"
"51","TRINITY_DN1639_c0_g2"
